ACO_ID,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Current_Track_1_Plus,Current_BASIC_A,Current_BASIC_B,Current_BASIC_C,Current_BASIC_D,Current_BASIC_E,Current_ENHANCED,Risk_Model,Assign_Type,Adv_Pay,AIM,SNF_Waiver,N_AB,Sav_Rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,EarnSaveLoss,DisAffQual,Met_QPS,Report_WI,Report_eCQM,Report_CQM,Report_Inc,QualScore,Recvd30p,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,MaxShareRate,FinalShareRate,RevLossLimit,Rev_Exp_Cat,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,P_SNF_ADM,SNF_LOS,SNF_PayperStay,N_CAH,N_FQHC,N_RHC,N_ETA,N_Hosp,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,Perc_Dual,Perc_CovDiag,Perc_CovEpisode,Perc_LTI,CAHPS_1,CAHPS_2,CAHPS_3,CAHPS_4,CAHPS_5,CAHPS_6,CAHPS_7,CAHPS_11,CAHPS_9,CAHPS_8,Measure_479,Measure_MCC1,QualityID_318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_134_eCQM-CQM,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_001_eCQM-CQM,QualityID_236_WI,QualityID_236_eCQM-CQM
A2452,"Alliance for Integrated Care of New York, LLC",NY,Renewal,3,41640,43831,0,0,0,0,0,1,0,0,0,0,One-Sided,Prospective,0,0,0,6641,0.0377,0.0347,3261620,3261620,,1278555,1,1,1,0,0,0,0.8214,0,1,13236,12279,86426650,83165030,,,0.4,0.4,0,Low Revenue,59446,8976,14633,9081,99612,10492,17723,9908,111350,11119,18528,9065,95462,11127,19054,10449,12736,0.922,0.804,1.031,1.24,1.052,0.751,1.075,1.203,1.022,0.767,1.009,1.169,1.045,0.761,1.04,0.979,19,4869,1054,370,6530,13,4727,1231,558,4831,1301,400,109,2757,3884,4933,1096,94,245,3,270,4022,3388,24,13,608,84,1652,2602,4195,192,215,346,308,283,1,1,24,1074,272,727,143,21623,2117,6216,2148,11143,51,39,26084,0,20,0,0,0,0,40,93,78,14,0,0.9018,0.0991,0.0268,0.0163,77.94,90.23,89.97,74.22,59.19,57.8,74.38,13.01,84.82,81.2,-,41.91,47.03,78.47,79.41,77.39,-,64.19,75.33,83.27,13.33,19.47,-,60.08,-
A2973,LTC ACO,"IN, PA, WV, TX, MD, CT, NH, DE, AL",Renewal,2,42370,43647,0,0,0,0,0,0,0,0,0,1,Two-Sided,Retrospective,0,0,0,8018,0.1266,0.02,28075166,28075166,,20635247,1,1,0,0,1,0,0.8153,0,0,30771,29284,221754159,193678992,,,0.75,0.75,0,Low Revenue,139068,39205,25458,46129,127906,43452,26496,46019,124881,28229,20731,30226,107503,30263,24423,25852,26876,1.3,2.617,1.446,2.09,1.283,2.412,1.256,1.878,1.32,2.576,1.204,2.127,1.31,2.427,1.266,1.986,125,621,4027,468,7206,140,831,5376,860,969,1828,2283,2938,5381,2637,6765,912,48,123,82,88,5184,4781,199,41,206,3857,6704,5423,5401,663,98,436,459,439,4,2,15,886,396,737,51,32123,8706,3015,20288,113,478,33,15579,0,0,0,0,0,0,1007,151,1703,237,10,0.8772,0.3169,0.0352,0.9606,-,-,-,-,-,-,-,-,-,-,0.136,24.48,-,-,-,-,74.88,-,-,-,-,-,80.72,-,82.63
A3770,"Family Choice ACO, LLC",CA,Initial,1,43101,43101,0,0,0,1,0,0,0,0,0,0,Two-Sided,Prospective,0,0,1,11558,0.0973,0,14679438,14679438,,7192925,1,1,1,0,0,0,0.7742,0,,13409,11438,150797635,136118197,,,0.5,0.5,1,High Revenue,88785,13176,9360,12941,88032,12853,8940,11834,105245,12409,9321,12107,91519,13934,10396,13325,12104,1.038,1.23,0.784,1.181,1.044,1.196,0.746,1.179,1,1.126,0.765,1.182,1.037,1.161,0.829,1.167,133,851,6578,1744,11246,137,809,8516,1784,903,5082,4030,1543,6798,4760,1841,107,7555,422,9,1624,3392,3035,153,137,107,424,965,1551,4670,99,1203,222,242,227,5,5,5,439,213,535,187,13464,7480,4949,710,324,49,30,19862,0,3,0,0,0,0,133,199,65,61,0,0.8318,0.0722,0.0253,0.0198,80.98,89.98,91.26,78.56,47.74,65.36,71.94,23.39,87.63,82.06,0.1774,27.1,47.81,80.13,45.45,45.76,-,56.99,64.67,75.79,15.62,34.89,-,52.68,-
A4601,"Excelera ACO, Inc.",CA,Initial,1,43647,43647,0,0,0,0,1,0,0,0,0,0,One-Sided,Prospective,0,0,0,4562,0.0725,0.0414,4363966,4363966,,1710675,1,1,0,0,0,0,0.6173,1,1,13516,11816,60201550,55837585,,,0.4,0.4,0,Low Revenue,81169,10263,8895,9265,105397,12675,9915,8549,102651,10283,10210,8430,104141,13362,12241,8954,12536,0.988,1.022,0.77,0.979,0.997,1.185,0.8,0.927,0.98,1.012,0.808,0.894,1.021,1.058,0.815,0.83,76,301,3066,1481,4454,67,242,2580,1565,273,1606,1504,1179,2736,1826,704,66,2733,185,2,872,4053,3713,97,238,63,597,1421,2355,3025,102,1348,166,239,226,2,6,4,491,197,459,160,8515,4668,3283,418,146,57,31,24862,0,0,0,0,0,0,53,51,8,21,0,0.6382,0.0324,0.0151,0.0193,83.58,90.66,91.31,74.82,47.91,62.42,71.34,21.86,88.24,79.98,0.161,30.68,-,-,-,-,-,-,-,-,-,-,-,-,-
A1675,HHC ACO Inc,NY,Renewal,3,41275,43647,0,0,0,0,0,0,0,0,0,1,Two-Sided,Prospective,0,0,0,8434,0.0473,0.0316,5451716,5451716,,4007011,1,1,1,0,0,0,0.7954,0,1,14045,12327,115242245,109790529,,,0.75,0.75,0,High Revenue,93396,8898,11518,7430,91908,8779,10994,7624,96087,10130,11440,7829,99383,12514,14105,8518,13381,0.966,0.916,0.807,0.975,0.969,0.898,0.822,0.949,0.957,0.882,0.792,0.898,0.995,0.857,0.831,0.893,217,2371,3811,3172,8205,151,1810,3388,2855,1951,3357,2229,897,5073,3361,2535,3589,503,1016,27,764,5003,3928,115,281,740,133,1659,3652,2635,134,465,182,341,308,3,6,24,876,289,423,144,10203,3112,4676,1128,1287,53,36,25479,0,71,0,7,11,27,1311,3780,737,522,0,0.5925,0.0828,0.0277,0.0403,76.38,89.46,90.3,78.94,61.99,57.33,72.09,18.82,87.77,80.13,0.1762,45.15,73.12,71.31,76.47,80.22,-,68.32,67.79,89.62,25.42,14.88,-,67.31,-
A4542,CA MSSP Community Health Center,"CA, TN, NC",Re-entering,2,43647,43647,0,0,0,0,0,1,0,0,0,0,One-Sided,Retrospective,0,0,0,24214,0.0213,0.0246,5357599,0,,0,1,1,1,0,0,0,0.8047,0,1,10760,9404,250966318,245608720,,,0.4,0.4,0,Low Revenue,73996,8119,8574,6850,76373,8349,8685,7254,79254,8367,9320,7334,81151,9571,10017,7642,10530,0.967,0.87,0.689,0.871,0.959,0.892,0.712,0.89,0.97,0.851,0.708,0.868,0.942,0.843,0.694,0.843,306,7933,7382,8634,23325,480,6675,8094,8075,8077,10555,4312,1270,12937,11277,15514,1388,905,5087,83,1237,3111,2817,33,141,140,201,594,3131,2871,166,459,312,263,241,1,6,15,771,204,538,174,11345,463,2814,871,7197,39,28,14720,0,164,0,0,0,0,441,238,354,197,2,0.5906,0.0842,0.0242,0.0054,80.48,92.26,91.58,82.49,62.26,65.61,73.31,34.46,92.91,82.06,0.1731,35.06,71.48,69.15,80.56,87.95,-,49.67,59.61,88.03,23.61,18.12,-,66.78,-
A2100,NY FamilyHealth MSSP Enhanced,NY,Renewal,3,41640,43831,0,0,0,0,0,0,0,0,1,0,Two-Sided,Retrospective,0,0,0,10421,0.0977,0.02,13153827,13153827,,6445375,1,1,1,0,0,0,0.8616,0,1,13271,12407,134633027,121479200,,,0.5,0.5,1,Low Revenue,78779,11456,12476,8502,82234,10762,12711,8933,98053,10741,13090,9125,104374,11275,12743,9068,11975,1.042,0.913,0.856,0.942,0.982,0.865,0.846,0.919,0.985,0.844,0.853,0.898,1.022,0.843,0.845,0.894,150,5221,3144,4051,10145,116,3838,2700,3490,4229,3824,1748,620,5743,4678,6283,2210,156,1053,17,702,4037,3287,40,119,628,84,1026,3237,3269,165,334,212,304,269,1,4,30,947,247,600,216,13333,783,4611,1110,6829,40,34,22606,0,88,0,0,0,0,433,176,317,67,0,0.5852,0.0734,0.0225,0.0048,76.91,91.5,90.89,77.01,67.48,57.44,74.77,19,87.05,83.32,-,39.23,78.75,74.39,92.31,66.11,-,62.85,60.87,84.94,20.95,20.32,-,68.46,-
A4577,SOMOS ACO,"NY, NJ",Initial,1,43647,43647,0,0,0,0,0,0,0,0,1,0,Two-Sided,Prospective,0,0,1,15103,0.0939,0.01,20508214,20508214,,10049025,1,1,1,0,0,0,0.8184,0,1,14941,13196,218427001,197918787,,,0.5,0.5,1,Low Revenue,100335,11961,11915,9600,95635,10806,11581,9446,89609,11874,12019,9465,92303,13438,13470,10209,13538,1.083,1.117,0.907,1.048,1.035,1.023,0.906,1.017,0.993,0.973,0.913,0.994,1.006,0.982,0.914,0.938,264,1665,8722,5870,14620,256,1280,7222,5862,1423,5635,5007,3038,9093,6010,4293,2050,5585,1042,16,2117,3866,3584,81,90,168,266,1718,2254,5099,112,522,182,279,268,3,4,5,486,241,608,278,16497,9042,6019,1378,58,56,36,25887,0,0,0,0,0,0,551,439,587,141,0,0.5734,0.0834,0.0275,0.0182,84.88,91.47,90.93,75.34,61.33,67.22,65.9,26.17,85.83,81.89,0.164,32.03,66.44,61.53,83.33,73.09,-,56.3,57.1,80.61,10,14.5,-,66.42,-
A1392,"Asian American Accountable Care Organization, LLC",NY,Renewal,3,41091,43647,0,0,0,0,0,0,0,0,1,0,Two-Sided,Prospective,0,0,0,7792,0.1568,0,15187068,15187068,,7441664,1,1,1,0,0,0,0.994,0,1,12765,11302,96857586,81670517,,,0.5,0.5,1,Low Revenue,83166,10576,9372,7559,80093,8943,9843,8066,83441,9785,10689,7813,93216,9160,10909,8286,10764,0.981,0.917,0.801,0.935,0.988,0.896,0.832,0.928,0.966,0.899,0.842,0.901,0.988,0.89,0.844,0.857,110,566,5051,3178,7588,99,437,3818,3234,477,2892,2669,1754,4858,2934,1099,444,4401,97,4,1747,2866,2689,73,77,53,268,1196,1845,4251,68,364,162,205,198,3,3,2,330,172,536,256,13363,6987,5282,648,446,40,39,28269,0,4,0,0,0,0,134,199,45,27,0,0.5559,0.0521,0.0194,0.0173,87.56,92.28,90.01,80.96,62.69,61.55,70.47,23.1,88.17,83.1,0.1454,27.44,87.76,89.35,85.71,69.04,-,77.74,63.62,85.86,13.16,5.81,-,82.41,-
A2147,"Health Choice Care, LLC","FL, NC, HI, RI, MO",Renewal,3,41640,43831,0,0,0,0,0,0,1,0,0,0,Two-Sided,Retrospective,0,0,0,12053,0.0909,0,11813559,11813559,,5788644,1,1,1,0,0,0,0.8535,0,1,11206,11225,129899334,118085775,,,0.5,0.5,1,Low Revenue,76204,8660,10048,7307,74988,9117,10261,7535,83329,9175,11185,8828,72529,8753,10070,7980,10187,0.963,0.896,0.772,0.868,0.958,0.878,0.756,0.858,0.965,0.871,0.747,0.861,0.949,0.864,0.734,0.843,265,5709,3677,4451,11592,243,4218,3180,3951,5054,4938,1602,459,6732,5321,6526,2559,424,1707,19,818,3258,2810,62,191,195,77,324,2701,3195,122,456,300,319,281,2,10,26,907,259,634,211,10238,508,3616,960,5154,25,23,15032,0,171,0,0,0,0,344,171,289,56,0,0.5522,0.066,0.0227,0.0008,78.98,92.63,92.11,77.66,65.18,57.01,70.79,22.12,89.81,82.55,-,38.69,93.94,63.73,88.14,92.04,-,59.89,64.16,87.85,14.42,27.07,-,66.23,-
